references,vegetation,local,family,specie,month,nitrogen,phosphorus,potassium,calcium,magnesium,iron,manganese,zinc,copper,aluminum
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.21,Qualea parviflora Mart.,may,12.10,0.56,3.70,5.30,1.90,112,194,15.9,4.16,14353
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.31,Qualea grandiflora Mart.,may,13.10,0.67,4.20,5.00,2.00,118,118,16.6,3.13,5500
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.56,Annona crassiflora Mart.,may,15.60,0.76,5.40,6.40,1.70,77,82,18.5,3.33,184
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.39,Caryocar brasiliense A.St.-Hil.,may,13.90,0.72,2.90,5.20,2.30,153,60,15.6,2.13,310
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",2.62,Dimorphandra mollis Benth.,may,26.20,0.40,3.00,1.50,1.00,184,18,15.2,1.97,410
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.03,Kielmeyera coriacea Mart.,may,10.30,0.62,5.30,4.90,1.70,62,23,18.5,1.58,159
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.46,Vochysia rufaMart.,may,14.60,0.78,3.90,3.20,2.10,79,90,18.3,4.41,19840
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.71,Terminalia brasiliensis (Cambess. ex A. St.-Hil.) Eichler,may,17.10,0.85,4.20,8.20,3.10,92,133,16.4,4.04,260
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.47,Erythroxylum deciduum A.St.-Hil.,may,14.70,0.69,3.30,6.70,2.40,66,51,15.9,2.61,202
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.47,Strychnos pseudoquina A. St.-Hil.,may,14.70,0.64,4.00,6.60,2.90,139,388,17.1,3.83,3026
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",1.57,Sclerolobium aureum (Tul.) Baill.,may,15.70,0.58,4.70,2.00,0.90,108,76,15.1,1.66,263
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Vochysiaceae,Qualea parviflora Mart.,october,18.50,1.35,8.20,10.00,3.20,194,61,22.3,7.85,14264
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Vochysiaceae,Qualea grandiflora Mart.,october,18.80,1.25,8.70,6.70,2.40,118,53,20.6,4.99,9890
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Annonaceae,Annona crassiflora Mart.,october,22.60,1.81,10.20,6.80,2.90,82,60,21.1,14.28,155
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Caryocaraceae,Caryocar brasiliense A.St.-Hil.,october,20.40,1.06,5.90,11.20,3.60,60,42,19.7,4.04,223
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Leguminosae,Dimorphandra mollis Benth.,october,40.10,0.52,5.90,0.60,1.30,18,20,24.1,7.61,266
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Calophyllaceae,Kielmeyera coriacea Mart.,october,19.30,1.52,9.90,7.00,2.20,23,17,25.1,6.42,179
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Vochysiaceae,Vochysia rufaMart.,october,18.00,1.03,8.10,6.90,3.10,90,65,18.0,7.02,18707
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Combretaceae,Terminalia brasiliensis (Cambess. ex A. St.-Hil.) Eichler,october,19.10,1.47,8.40,12.30,4.40,133,77,21.3,8.57,163
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Erythroxylaceae,Erythroxylum deciduum A.St.-Hil.,october,21.10,1.40,11.10,17.00,3.40,51,58,21.1,8.32,185
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Loganiaceae,Strychnos pseudoquina A. St.-Hil.,october,16.90,0.97,5.60,13.40,3.70,388,423,19.8,8.09,2787
"Ribeiro, J.F. (1983)",Cerrado,"CPAC, EMBRAPA",Leguminosae,Sclerolobium aureum (Tul.) Baill.,october,14.70,0.53,4.00,2.30,0.60,76,112,15.4,3.49,360
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.18,Emmotum nitens (Benth.) Miers,may,11.80,0.60,4.60,4.00,2.10,174,19,15.1,1.61,320
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.53,Ocotea spixiana (Nees) Mez,may,15.30,0.55,4.50,1.30,1.20,102,35,15.6,2.97,362
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.91,Sclerolobium paniculatum L.G.Silva & H.C.Lima,may,19.10,0.75,3.00,1.50,1.30,180,114,18.3,1.97,335
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",2.29,Siparuna guianensis Aubl.,may,22.90,1.09,14.60,5.10,2.90,180,602,21.3,2.88,991
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.49,Tapirira guianensis Aubl.,may,14.90,0.90,6.10,12.00,3.30,108,25,17.9,2.77,213
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.97,Xylopia aromatica (Lam.) Mart.,may,19.70,0.81,4.90,5.10,2.00,116,107,16.2,3.92,250
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.57,Diospyros sericea A.DC.,may,15.70,0.74,6.20,2.80,2.50,107,30,15.7,1.66,250
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.69,Simarouba amara Aubl.,may,16.90,0.74,5.20,2.40,1.80,98,19,15.0,1.78,223
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",2,Bowdichia virgilioides Kunth,may,20.00,0.64,4.30,3.20,1.30,107,35,16.3,3.56,186
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.55,Maprounea guianensis Aubl.,may,15.50,0.69,3.40,2.00,1.90,103,57,15.4,2.61,239
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.62,Cordiera macrophylla (K.Schum.) Kuntze,may,16.20,0.66,8.50,6.90,3.50,129,36,15.6,2.26,293
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.18,Emmotum nitens (Benth.) Miers,october,13.50,0.63,5.00,6.70,2.30,245,13,16.1,3.37,432
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.53,Ocotea spixiana (Nees) Mez,october,14.40,0.77,6.00,0.80,1.10,93,29,15.8,6.66,332
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.91,Sclerolobium paniculatum L.G.Silva & H.C.Lima,october,18.60,0.72,4.60,0.70,1.00,192,107,17.4,4.56,357
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",2.29,Siparuna guianensis Aubl.,october,22.50,0.89,14.70,15.50,2.90,201,548,23.1,8.45,1300
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.49,Tapirira guianensis Aubl.,october,18.40,1.22,7.10,21.20,3.70,127,24,20.8,5.83,236
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.97,Xylopia aromatica (Lam.) Mart.,october,19.80,0.73,6.70,12.60,2.00,241,152,18.9,7.02,412
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.57,Diospyros sericea A.DC.,october,18.60,0.78,7.70,4.60,3.30,163,23,18.1,4.99,311
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.69,Simarouba amara Aubl.,october,20.10,0.93,8.50,3.20,2.00,108,29,14.6,6.55,234
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",2,Bowdichia virgilioides Kunth,october,24.40,1.17,6.70,2.50,1.60,80,32,21.6,8.21,185
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.55,Maprounea guianensis Aubl.,october,20.40,1.03,5.70,1.90,1.90,86,51,18.9,7.38,238
"Ribeiro, J.F. (1983)",Cerradão,"CPAC, EMBRAPA",1.62,Cordiera macrophylla (K.Schum.) Kuntze,october,16.50,0.90,9.80,14.10,3.30,120,33,15.1,5.59,249
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Clusiaceae,Calophyllum brasiliense Cambess.,september,1.49,62,0.55,0.73,0.65,134,37,NA,NA,1106
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Leguminosae,Copaifera langsdorffii Desf.,september,1.18,101,0.93,0.72,0.52,107,847,NA,NA,1457
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Leguminosae,Copaifera langsdorffii Desf.,march,1.18,53,0.72,0.46,0.65,136,1174,NA,NA,441
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Myrtaceae,Myrcia fenzliana O.Berg,september,0.92,158,1.32,0.82,0.52,160,430,NA,NA,5473
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Myrtaceae,Myrcia fenzliana O.Berg,march,1.58,21,0.57,0.54,0.50,138,220,NA,NA,414
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Meliaceae,Guarea macrophylla subsp. tuberculata (Vell.)T.D.Penn.,september,1.05,142,0.96,0.25,0.43,129,45,NA,NA,1743
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Meliaceae,Guarea macrophylla subsp. tuberculata (Vell.)T.D.Penn.,march,1.58,21,1.29,0.48,0.72,105,60,NA,NA,246
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Annonaceae,Guatteria sellowiana Schltdl.,september,1.05,95,0.63,0.82,0.42,118,510,NA,NA,1194
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Annonaceae,Guatteria sellowiana Schltdl.,march,1.32,42,0.57,0.60,0.60,130,431,NA,NA,406
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Chrysobalanaceae,Hirtella glandulosa Spreng.,september,1.38,68,0.47,0.59,0.44,207,32,NA,NA,899
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Chrysobalanaceae,Hirtella glandulosa Spreng.,march,1.38,17,0.52,0.53,0.57,140,43,NA,NA,339
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Phyllanthaceae,Hyeronima alchorneoides Allemão,september,1.84,150,0.71,0.18,0.34,94,43,NA,NA,1441
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Phyllanthaceae,Hyeronima alchorneoides Allemão,march,1.05,31,0.40,0.54,0.77,173,142,NA,NA,318
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Leguminosae,Inga alba (Sw.) Willd.,september,0.79,155,0.70,0.32,0.38,214,96,NA,NA,2078
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Leguminosae,Inga alba (Sw.) Willd.,march,1.84,32,0.69,0.49,0.64,128,136,NA,NA,382
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,september,1.11,83,0.41,0.28,0.25,132,96,NA,NA,867
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,march,1.18,25,0.45,0.26,0.32,159,186,NA,NA,357
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Lauraceae,Ocotea pomaderroides (Meisn.) Mez,march,1.58,21,0.63,0.66,0.35,113,1078,NA,NA,270
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Lauraceae,Ocotea sp,september,1.05,84,0.68,0.55,0.35,133,681,NA,NA,660
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Lauraceae,Ocotea sp,march,1.05,56,0.95,1.12,0.78,129,141,NA,NA,395
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,september,1.22,101,0.85,0.46,0.35,84,51,NA,NA,1018
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,march,1.40,17,0.89,0.52,0.51,105,47,NA,NA,296
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Moraceae,Pseudolmedia laevigata Trécul,september,1.14,92,0.92,0.56,0.58,114,710,NA,NA,530
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Moraceae,Pseudolmedia laevigata Trécul,march,1.23,31,1.21,0.45,0.53,120,666,NA,NA,270
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,march,1.58,11,1.84,0.57,0.74,103,78,NA,NA,8147
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Anacardiaceae,Tapirira guianensis Aubl.,september,1.36,82,0.54,1.58,0.59,145,46,NA,NA,867
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Anacardiaceae,Tapirira guianensis Aubl.,march,0.96,31,0.61,1.47,0.55,98,45,NA,NA,241
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Myristicaceae,Virola sebifera Aubl.,september,0.96,94,0.65,0.18,0.16,129,279,NA,NA,1416
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Myristicaceae,Virola sebifera Aubl.,march,1.40,23,0.78,0.33,0.45,128,485,NA,NA,350
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Annonaceae,Xylopia sericea A.St.-Hil.,september,1.11,104,1.27,0.64,0.62,140,128,NA,NA,1078
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Annonaceae,Xylopia sericea A.St.-Hil.,march,1.23,21,1.15,0.44,0.40,102,475,NA,NA,286
"Silva, P.E.N. (1991)",Mata,Taquara,Anarcadiaceae,Astronium graveolens Jacq.,september,1.32,101,0.65,0.68,0.37,101,38,NA,NA,1723
"Silva, P.E.N. (1991)",Mata,Taquara,Calophyllaceae,Calophyllum brasiliense Cambess.,september,1.58,0.05,0.48,1.53,0.30,79,19,NA,NA,1132
"Silva, P.E.N. (1991)",Mata,Taquara,Calophyllaceae,Calophyllum brasiliense Cambess.,march,1.44,0.06,0.47,1.33,0.51,83,27,NA,NA,409
"Silva, P.E.N. (1991)",Mata,Taquara,Meliaceae,Cedrela odorata L.,september,0.92,0.19,1.43,0.87,0.33,84,17,NA,NA,613
"Silva, P.E.N. (1991)",Mata,Taquara,Meliaceae,Cedrela odorata L.,march,1.57,0.07,0.67,1.83,0.26,136,24,NA,NA,366
"Silva, P.E.N. (1991)",Mata,Taquara,Proteaceae,Euplassa inaequalis (Pohl) Engl.,september,2.90,0.14,1.59,0.49,0.37,98,50,NA,NA,10017
"Silva, P.E.N. (1991)",Mata,Taquara,Proteaceae,Euplassa inaequalis (Pohl) Engl.,march,NA,0.05,1.39,0.94,0.35,130,110,NA,NA,13565
"Silva, P.E.N. (1991)",Mata,Taquara,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,september,0.96,0.09,2.08,2.45,0.61,90,128,NA,NA,1045
"Silva, P.E.N. (1991)",Mata,Taquara,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,march,1.44,0.07,1.92,2.71,0.81,130,225,NA,NA,480
"Silva, P.E.N. (1991)",Mata,Taquara,Nyctaginaceae,Guapira sp,september,1.97,0.06,0.93,1.15,0.97,127,212,NA,NA,1488
"Silva, P.E.N. (1991)",Mata,Taquara,Nyctaginaceae,Guapira sp,march,NA,0.10,0.78,1.49,1.21,151,234,NA,NA,816
"Silva, P.E.N. (1991)",Mata,Taquara,Phyllanthaceae,Hyeronima alchorneoides Allemão,march,1.05,0.14,2.18,0.59,0.82,83,45,NA,NA,509
"Silva, P.E.N. (1991)",Mata,Taquara,Cunoniaceae,Lamanonia brasiliensis Zickel & Leitão,september,0.92,0.09,0.89,1.66,0.60,72,317,NA,NA,445
"Silva, P.E.N. (1991)",Mata,Taquara,Cunoniaceae,Lamanonia brasiliensis Zickel & Leitão,march,1.05,0.06,0.70,2.39,0.68,90,327,NA,NA,887
"Silva, P.E.N. (1991)",Mata,Taquara,Myrtaceae,Myrceugenia sp,september,0.98,0.09,0.88,1.39,0.38,89,165,NA,NA,710
"Silva, P.E.N. (1991)",Mata,Taquara,Myrtaceae,Myrceugenia sp,march,1.18,0.07,0.71,1.70,0.49,118,152,NA,NA,541
"Silva, P.E.N. (1991)",Mata,Taquara,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,september,1.11,0.12,0.82,0.74,0.30,97,39,NA,NA,473
"Silva, P.E.N. (1991)",Mata,Taquara,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,march,1.24,0.08,1.34,0.58,0.38,66,35,NA,NA,389
"Silva, P.E.N. (1991)",Mata,Taquara,Rosaceae,Prunus sp,september,NA,0.07,1.55,2.09,0.47,79,66,NA,NA,1765
"Silva, P.E.N. (1991)",Mata,Taquara,Rosaceae,Prunus sp,march,NA,0.14,1.43,2.35,0.46,144,195,NA,NA,668
"Silva, P.E.N. (1991)",Mata,Taquara,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,september,1.31,0.13,1.35,2.13,0.88,163,77,NA,NA,22461
"Silva, P.E.N. (1991)",Mata,Taquara,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,march,1.57,0.08,2.01,1.78,0.54,114,84,NA,NA,20565
"Silva, P.E.N. (1991)",Mata,Taquara,Bignoniaceae,Tabebuia sp,september,1.31,0.26,2.27,1.05,0.80,95,108,NA,NA,577
"Silva, P.E.N. (1991)",Mata,Taquara,Bignoniaceae,Tabebuia sp,march,1.18,0.09,0.90,1.62,1.06,153,172,NA,NA,947
"Silva, P.E.N. (1991)",Mata,Taquara,Magnoliaceae,Magnolia ovata  (A.St.-Hil.) Spreng.,september,1.23,0.08,0.61,2.48,0.31,70,80,NA,NA,1257
"Silva, P.E.N. (1991)",Mata,Taquara,Magnoliaceae,Magnolia ovata  (A.St.-Hil.) Spreng.,march,1.23,0.05,0.84,2.67,0.32,88,75,NA,NA,469
"Silva, P.E.N. (1991)",Mata,Taquara,Anacardiaceae,Tapirira guianensis Aubl.,september,1.31,0.09,0.65,2.94,0.23,78,24,NA,NA,981
"Silva, P.E.N. (1991)",Mata,Taquara,Anacardiaceae,Tapirira guianensis Aubl.,march,1.22,0.06,0.65,2.67,0.34,77,31,NA,NA,381
"Silva, P.E.N. (1991)",Mata,Taquara,Dichapetalaceae,Tapura amazonica Poepp. & Endl.,march,1.05,0.14,0.65,1.81,0.25,133,20,NA,NA,302
"Silva, P.E.N. (1991)",Mata,Taquara,Myristicaceae,Virola sebifera,march,1.18,0.05,0.58,1.53,0.26,8,78,NA,NA,621
"Silva, P.E.N. (1991)",Mata,Taquara,Annonaceae,Xylopia emarginata Mart.,september,1.49,0.01,0.76,1.69,0.40,135,49,NA,NA,939
"Silva, P.E.N. (1991)",Mata,Taquara,Annonaceae,Xylopia emarginata Mart.,march,1.31,0.05,0.73,1.00,0.32,77,55,NA,NA,429
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Amaioua guianensis Aubl.,september,1.31,0.08,1.19,0.43,0.4,162,56,NA,NA,678
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Amaioua guianensis Aubl.,march,1.31,0.06,0.97,0.37,0.38,127,85,NA,NA,845
"Silva, P.E.N. (1991)",Mata,Monjolo,Apocynaceae,Aspidosperma discolor A.DC.,september,1.57,0.08,1.23,0.81,0.81,157,61,NA,NA,488
"Silva, P.E.N. (1991)",Mata,Monjolo,Apocynaceae,Aspidosperma discolor A.DC.,march,1.67,0.08,0.88,0.60,0.95,119,59,NA,NA,687
"Silva, P.E.N. (1991)",Mata,Monjolo,Anarcadiaceae,Astronium graveolens Jacq.,september,1.31,0.08,1.28,0.51,0.41,125,25,NA,NA,910
"Silva, P.E.N. (1991)",Mata,Monjolo,Anarcadiaceae,Astronium graveolens Jacq.,march,1.32,0.10,1.20,0.34,0.59,190,58,NA,NA,1098
"Silva, P.E.N. (1991)",Mata,Monjolo,Myrtaceae,Blepharocalyx salicifolius (Kunth) O.Berg,september,0.79,0.07,0.59,0.69,0.59,95,11,NA,NA,435
"Silva, P.E.N. (1991)",Mata,Monjolo,Myrtaceae,Blepharocalyx salicifolius (Kunth) O.Berg,march,1.32,0.07,0.52,0.71,0.71,124,17,NA,NA,286
"Silva, P.E.N. (1991)",Mata,Monjolo,Calophyllaceae,Calophyllum brasiliense Cambess.,september,1.32,0.05,0.69,0.63,0.51,202,55,NA,NA,689
"Silva, P.E.N. (1991)",Mata,Monjolo,Calophyllaceae,Calophyllum brasiliense Cambess.,march,1.05,0.06,1.23,0.29,0.45,86,27,NA,NA,302
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,september,1.25,0.08,0.90,0.63,0.64,199,30,NA,NA,647
