references,vegetation,local,family,specie,month,nitrogen,phosphorus,potassium,calcium,magnesium,iron,manganese,zinc,copper,aluminum
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,march,1.31,0.07,0.89,0.54,0.61,116,33,NA,NA,632
"Silva, P.E.N. (1991)",Mata,Monjolo,Leguminosae,Copaifera langsdorffii Desf.,september,1.32,0.11,0.98,0.32,0.34,121,272,NA,NA,1369
"Silva, P.E.N. (1991)",Mata,Monjolo,Leguminosae,Copaifera langsdorffii Desf.,march,1.05,0.11,0.62,0.73,0.53,114,220,NA,NA,736
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Cryptocarya aschersoniana Mez,september,1.84,0.07,1.26,0.23,0.20,168,421,NA,NA,506
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Cryptocarya aschersoniana Mez,march,0.79,0.07,1.29,0.25,0.19,169,489,NA,NA,844
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,march,1.32,0.08,1.11,0.53,0.52,122,32,NA,NA,657
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapindaceae,Cupania vernalis Cambess.,september,1.58,0.10,1.15,0.55,0.71,133,1077,NA,NA,1584
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapindaceae,Cupania vernalis Cambess.,march,1.32,0.07,1.63,0.29,0.47,159,355,NA,NA,660
"Silva, P.E.N. (1991)",Mata,Monjolo,Icacinaceae,Emmotum nitens (Benth.) Miers,september,1.05,0.09,0.74,0.49,0.51,320,23,NA,NA,1306
"Silva, P.E.N. (1991)",Mata,Monjolo,Icacinaceae,Emmotum nitens (Benth.) Miers,march,1.58,0.06,0.88,0.31,0.58,236,27,NA,NA,1019
"Silva, P.E.N. (1991)",Mata,Monjolo,Myrtaceae,Gomidesia cf. lindeniana O.Berg,march,1.58,0.08,0.80,0.40,0.48,292,573,NA,NA,1058
"Silva, P.E.N. (1991)",Mata,Monjolo,Annonaceae,Guatteria sellowiana Schltdl.,september,1.49,0.16,1.13,0.65,0.67,253,146,NA,NA,775
"Silva, P.E.N. (1991)",Mata,Monjolo,Annonaceae,Guatteria sellowiana Schltdl.,march,1.40,0.05,0.95,0.50,0.53,114,140,NA,NA,1010
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Ixora brevifolia Benth.,september,1.84,0.05,0.55,0.58,0.40,199,220,NA,NA,23320
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Ixora brevifolia Benth.,march,1.35,0.05,0.60,0.63,0.56,124,176,NA,NA,28090
"Silva, P.E.N. (1991)",Mata,Monjolo,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,september,1.31,0.09,0.67,0.24,0.31,167,49,NA,NA,821
"Silva, P.E.N. (1991)",Mata,Monjolo,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,march,1.05,0.08,0.69,0.27,0.39,129,41,NA,NA,752
"Silva, P.E.N. (1991)",Mata,Monjolo,Euphorbiaceae,Maprounea guianensis Aubl.,march,1.05,0.06,0.53,0.23,0.30,106,82,NA,NA,579
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Maytenus floribunda Reissek,september,1.58,0.08,1.09,0.08,0.14,72,62,NA,NA,609
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Maytenus floribunda Reissek,march,1.05,0.07,0.72,0.19,0.27,127,130,NA,NA,430
"Silva, P.E.N. (1991)",Mata,Monjolo,Melastomataceae,Miconia sellowiana Naudin,september,1.58,0.04,0.65,0.31,0.28,91,158,NA,NA,5603
"Silva, P.E.N. (1991)",Mata,Monjolo,Melastomataceae,Miconia sellowiana Naudin,march,1.38,0.05,0.47,0.37,0.38,98,173,NA,NA,8829
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Nectandra lanceolata Nees,september,1.18,0.08,0.98,0.38,0.47,270,205,NA,NA,1116
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Nectandra lanceolata Nees,march,1.44,0.07,0.69,0.52,0.66,179,567,NA,NA,929
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Ocotea spixiana (Nees) Mez,march,1.71,0.10,0.78,0.29,0.30,159,233,NA,NA,985
"Silva, P.E.N. (1991)",Mata,Monjolo,Asteraceae,Piptocarpha macropoda (DC.) Baker,march,1.64,0.14,1.58,0.48,0.56,197,243,NA,NA,778
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapotaceae,Pouteria ramiflora (Mart.) Radlk.,september,1.45,0.08,0.58,0.16,0.25,129,120,NA,NA,530
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapotaceae,Pouteria ramiflora (Mart.) Radlk.,march,1.38,0.06,0.64,0.19,0.26,119,181,NA,NA,618
"Silva, P.E.N. (1991)",Mata,Monjolo,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,september,1.63,0.09,0.70,0.39,0.33,223,55,NA,NA,883
"Silva, P.E.N. (1991)",Mata,Monjolo,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,march,1.25,0.09,0.87,0.23,0.27,150,65,NA,NA,672
"Silva, P.E.N. (1991)",Mata,Monjolo,Moraceae,Pseudolmedia laevigata Trécul,september,1.40,0.06,0.81,0.32,0.42,123,474,NA,NA,1288
"Silva, P.E.N. (1991)",Mata,Monjolo,Moraceae,Pseudolmedia laevigata Trécul,march,1.38,0.06,1.17,0.39,0.46,114,356,NA,NA,495
"Silva, P.E.N. (1991)",Mata,Monjolo,Anacardiaceae,Tapirira guianensis Aubl.,september,1.64,0.11,0.86,0.76,0.64,190,30,NA,NA,627
"Silva, P.E.N. (1991)",Mata,Monjolo,Anacardiaceae,Tapirira guianensis Aubl.,march,1.18,0.30,0.58,0.65,0.73,222,33,NA,NA,664
"Silva, P.E.N. (1991)",Mata,Monjolo,Dichapetalaceae,Tapura amazonica Poepp. & Endl.,september,1.45,0.13,1.09,0.81,1.04,240,44,NA,NA,1215
"Silva, P.E.N. (1991)",Mata,Monjolo,Dichapetalaceae,Tapura amazonica Poepp. & Endl.,march,1.58,0.05,0.62,0.53,1.03,380,39,NA,NA,1030
"Silva, P.E.N. (1991)",Mata,Monjolo,Burseraceae,Protium unifoliolatum Engl.,march,2.11,0.10,0.83,0.59,0.55,140,235,NA,NA,1275
"Silva, P.E.N. (1991)",Mata,Monjolo,Myristicaceae,Virola sebifera Aulb.,september,1.75,0.11,1.28,0.26,0.38,168,185,NA,NA,812
"Silva, P.E.N. (1991)",Mata,Monjolo,Myristicaceae,Virola sebifera Aulb.,march,1.49,0.08,0.95,0.26,0.33,189,107,NA,NA,790
"Silva, P.E.N. (1991)",Mata,Gama,Rubiaceae,Amaioua guianensis Aubl.,september,1.51,0.10,1.55,0.42,0.40,99,70,NA,NA,286
"Silva, P.E.N. (1991)",Mata,Gama,Rubiaceae,Amaioua guianensis Aubl.,march,1.58,0.03,1.48,0.39,0.48,111,63,NA,NA,375
"Silva, P.E.N. (1991)",Mata,Gama,Apocynaceae,Aspidosperma discolor A.DC.,march,1.97,0.04,2.51,0.50,0.89,107,369,NA,NA,366
"Silva, P.E.N. (1991)",Mata,Gama,Anarcadiaceae,Astronium graveolens Jacq.,september,1.49,0.08,1.22,0.67,0.60,128,35,NA,NA,381
"Silva, P.E.N. (1991)",Mata,Gama,Anarcadiaceae,Astronium graveolens Jacq.,march,1.32,0.03,1.13,0.78,0.85,10,37,NA,NA,546
"Silva, P.E.N. (1991)",Mata,Gama,Meliaceae,Cabralea canjerana (Vell.) Mart.,september,1.18,0.10,0.65,0.55,0.44,295,52,NA,NA,776
"Silva, P.E.N. (1991)",Mata,Gama,Meliaceae,Cabralea canjerana (Vell.) Mart.,march,1.40,0.03,2.58,0.68,1.01,122,88,NA,NA,405
"Silva, P.E.N. (1991)",Mata,Gama,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,september,1.71,0.07,1.02,0.67,0.66,163,92,NA,NA,290
"Silva, P.E.N. (1991)",Mata,Gama,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,march,1.64,0.02,0.79,0.56,0.54,164,52,NA,NA,1064
"Silva, P.E.N. (1991)",Mata,Gama,Leguminosae,Copaifera langsdorffii Desf.,september,0.79,0.11,1.06,0.57,0.77,120,268,NA,NA,231
"Silva, P.E.N. (1991)",Mata,Gama,Leguminosae,Copaifera langsdorffii Desf.,march,1.18,0.04,0.92,0.64,0.58,106,461,NA,NA,483
"Silva, P.E.N. (1991)",Mata,Gama,Lauraceae,Cryptocarya aschersoniana Mez,september,1.66,0.14,1.40,0.21,0.22,118,206,NA,NA,795
"Silva, P.E.N. (1991)",Mata,Gama,Lauraceae,Cryptocarya aschersoniana Mez,march,1.66,0.03,1.23,0.33,0.41,148,270,NA,NA,666
"Silva, P.E.N. (1991)",Mata,Gama,Sapindaceae,Cupania vernalis Cambess.,september,1.57,0.14,1.91,0.28,0.68,157,239,NA,NA,723
"Silva, P.E.N. (1991)",Mata,Gama,Sapindaceae,Cupania vernalis Cambess.,march,1.25,0.05,1.74,0.26,0.66,115,215,NA,NA,616
"Silva, P.E.N. (1991)",Mata,Gama,Icacinaceae,Emmotum nitens (Benth.) Miers,september,1.58,0.06,0.72,0.34,0.69,156,23,NA,NA,517
"Silva, P.E.N. (1991)",Mata,Gama,Icacinaceae,Emmotum nitens (Benth.) Miers,march,1.31,0.04,1.05,0.53,0.55,244,216,NA,NA,939
"Silva, P.E.N. (1991)",Mata,Gama,Myrtaceae,Myrcia fenzliana O.Berg,september,1.71,0.04,0.77,0.50,0.05,160,282,NA,NA,429
"Silva, P.E.N. (1991)",Mata,Gama,Myrtaceae,Myrcia fenzliana O.Berg,march,1.58,0.03,0.99,0.51,0.52,143,439,NA,NA,573
"Silva, P.E.N. (1991)",Mata,Gama,Annonaceae,Guatteria sellowiana Schltdl.,september,1.58,0.09,0.88,0.66,0.86,178,223,NA,NA,581
"Silva, P.E.N. (1991)",Mata,Gama,Annonaceae,Guatteria sellowiana Schltdl.,march,1.38,0.02,1.05,0.55,0.80,121,130,NA,NA,564
"Silva, P.E.N. (1991)",Mata,Gama,Chrysobalanaceae,Hirtella glandulosa Spreng.,september,2.11,0.15,1.79,0.48,0.89,250,87,NA,NA,772
"Silva, P.E.N. (1991)",Mata,Gama,Leguminosae,Hymenaea stigonocarpa Hayne,september,1.75,0.15,1.46,0.41,0.58,108,229,NA,NA,636
"Silva, P.E.N. (1991)",Mata,Gama,Leguminosae,Hymenaea stigonocarpa Hayne,march,1.05,0.02,1.46,0.48,0.74,100,306,NA,NA,581
"Silva, P.E.N. (1991)",Mata,Gama,Bignoniaceae,Jacaranda caroba (Vell.) DC.,september,1.32,0.07,1.05,0.24,0.32,254,94,NA,NA,541
"Silva, P.E.N. (1991)",Mata,Gama,Cunoniaceae,Lamanonia ternata Vell.,september,1.84,0.04,0.57,0.75,0.99,129,221,NA,NA,756
"Silva, P.E.N. (1991)",Mata,Gama,Cunoniaceae,Lamanonia ternata Vell.,march,1.21,0.02,1.08,0.74,0.82,97,150,NA,NA,789
"Silva, P.E.N. (1991)",Mata,Gama,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,september,1.58,0.13,0.50,0.33,0.28,177,87,NA,NA,618
"Silva, P.E.N. (1991)",Mata,Gama,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,march,1.31,0.01,0.54,0.30,0.32,135,75,NA,NA,459
"Silva, P.E.N. (1991)",Mata,Gama,Leguminosae,Machaerium acutifolium Vogel,september,1.84,0.12,0.63,0.53,0.87,197,241,NA,NA,446
"Silva, P.E.N. (1991)",Mata,Gama,Leguminosae,Machaerium acutifolium Vogel,march,1.05,0.06,1.03,0.46,0.81,103,242,NA,NA,525
"Silva, P.E.N. (1991)",Mata,Gama,Celastraceae,Maytenus pittieriana Steyerm.,september,1.97,0.12,2.15,0.22,0.47,142,301,NA,NA,469
"Silva, P.E.N. (1991)",Mata,Gama,Celastraceae,Maytenus pittieriana Steyerm.,march,1.31,0.02,2.63,0.25,0.71,122,264,NA,NA,405
"Silva, P.E.N. (1991)",Mata,Gama,Rutaceae,Metrodorea stipularis Mart.,september,1.31,0.16,2.82,0.38,0.80,115,230,NA,NA,759
"Silva, P.E.N. (1991)",Mata,Gama,Rutaceae,Metrodorea stipularis Mart.,march,1.31,0.06,2.45,0.35,0.72,134,295,NA,NA,714
"Silva, P.E.N. (1991)",Mata,Gama,Lauraceae,Nectandra lanceolata Nees & Mart.,march,1.05,0.12,0.87,0.55,0.33,100,197,NA,NA,1077
"Silva, P.E.N. (1991)",Mata,Gama,Asteraceae,Piptocarpha macropoda (DC.) Baker,september,1.58,0.12,2.11,0.49,0.66,175,402,NA,NA,603
"Silva, P.E.N. (1991)",Mata,Gama,Asteraceae,Piptocarpha macropoda (DC.) Baker,march,1.58,0.09,2.47,0.37,0.57,167,301,NA,NA,533
"Silva, P.E.N. (1991)",Mata,Gama,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,september,1.71,0.11,1.37,0.43,0.39,123,307,NA,NA,539
"Silva, P.E.N. (1991)",Mata,Gama,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,march,1.45,0.02,0.87,0.40,0.39,111,44,NA,NA,557
"Silva, P.E.N. (1991)",Mata,Gama,Moraceae,Pseudolmedia laevigata Trécul,september,1.32,0.05,1.55,0.54,0.40,180,775,NA,NA,406
"Silva, P.E.N. (1991)",Mata,Gama,Celastraceae,Salacia elliptica (Mart.) G.Don,september,2.10,0.10,1.70,0.11,0.50,143,48,NA,NA,457
"Silva, P.E.N. (1991)",Mata,Gama,Symplocaceae,Symplocos mosenii Brand,september,1.66,0.11,1.01,0.50,0.17,124,205,NA,NA,38225
"Silva, P.E.N. (1991)",Mata,Gama,Symplocaceae,Symplocos mosenii Brand,march,1.42,0.04,0.81,0.46,0.23,107,179,NA,NA,49215
"Silva, P.E.N. (1991)",Mata,Gama,Anacardiaceae,Tapirira guianensis Aubl.,september,1.58,0.10,0.72,2.17,0.68,131,45,NA,NA,306
"Silva, P.E.N. (1991)",Mata,Gama,Anacardiaceae,Tapirira guianensis Aubl.,march,1.84,0.05,0.86,1.36,0.68,91,36,NA,NA,350
"Silva, P.E.N. (1991)",Mata,Gama,Burseraceae,Protium unifoliolatum Engl.,september,1.40,0.31,1.46,0.73,0.60,141,275,NA,NA,351
"Silva, P.E.N. (1991)",Mata,Gama,Burseraceae,Protium unifoliolatum Engl.,march,2.37,0.38,2.28,0.51,0.54,134,230,NA,NA,419
"Silva, P.E.N. (1991)",Mata,Gama,Myristicaceae,Virola sebifera Aubl.,september,0.92,0.11,1.45,0.14,0.47,209,219,NA,NA,923
"Silva, P.E.N. (1991)",Mata,Gama,Myristicaceae,Virola sebifera Aubl.,march,NA,0.02,1.42,0.18,0.54,123,124,NA,NA,529
"Silva, P.E.N. (1991)",Mata,Gama,Rutaceae,Zanthoxylum rhoifolium Lam.,september,1.32,0.15,3.34,0.45,0.75,171,211,NA,NA,318
"Silva, P.E.N. (1991)",Mata,Gama,Rutaceae,Zanthoxylum rhoifolium Lam.,march,1.58,0.02,2.37,0.41,0.70,114,120,NA,NA,350
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Leguminosae,Acacia glomerosa Benth.,march,30.40,1.63,8.38,8.68,1.99,140,76,17.0,9.00,80
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Arecaceae,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,march,18.50,1.29,13.52,7.75,1.98,236,57,21.0,3.00,78
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Leguminosae,Albizia niopoides (Benth.) Burkart,march,35.10,1.64,12.96,13.31,1.93,139,58,14.0,9.00,84
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Leguminosae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,march,31.40,1.22,6.97,17.63,2.04,130,30,17.0,7.00,68
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Malvaceae,Apeiba tibourbou Aubl.,march,24.70,1.39,21.93,12.27,2.31,101,55,13.0,9.00,99
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Apocynaceae,Aspidosperma cuspa (Kunth) S.F.Blake ex Pittier,march,20.40,1.06,8.95,26.79,2.35,145,26,14.0,15.00,157
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Anacardiaceae,Astronium fraxinifolium Schott,march,26.40,1.33,8.79,12.55,1.24,169,26,12.0,5.00,62
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Malpighiaceae,Byrsonima basiloba A.Juss.,march,12.30,0.75,4.01,28.45,2.22,227,28,7.0,3.00,104
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Salicaceae,Casearia gossypiosperma Briq.,march,23.20,1.14,16.25,16.69,2.13,128,531,29.0,10.00,82
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Salicaceae,Casearia rupestris Eichler,march,24.50,1.61,59.54,18.86,2.50,108,105,16.0,6.00,207
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Leguminosae,Senna silvestris (Vell.) H.S.Irwin & Barneby,march,28.20,1.56,10.52,16.67,2.11,122,38,18.0,12.00,61
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Caryocaraceae,Caryocar brasiliense A.St.-Hil.,march,21.70,1.06,6.04,9.83,2.89,256,38,14.0,3.00,119
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Rubiaceae,Chomelia cf. sericea,march,25.30,1.17,16.97,8.43,2.42,308,34,38.0,8.00,201
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Rubiaceae,Chomelia cf. sessilis,march,17.20,1.00,21.22,11.88,2.90,431,54,25.0,7.00,116
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Rubiaceae,Chomelia pohliana Müll.Arg.,march,23.30,1.25,10.58,23.23,2.08,270,35,20.0,13.00,181
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,march,17.50,0.95,4.98,23.33,2.03,181,23,9.0,2.00,136
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Rubiaceae,Coussarea hydrangeifolia (Benth.) Benth. & Hook.f. ex Müll.Arg.,march,25.60,0.97,5.91,15.41,1.82,175,87,18.0,11.00,3650
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,march,17.20,0.75,19.08,44.18,2.61,145,122,38.0,6.00,134
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Sapindaceae,Dilodendron bipinnatum Radlk.,march,20.90,1.51,8.47,12.12,1.74,278,53,14.0,7.00,169
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Leguminosae,Dimorphandra mollis Benth.,march,24.30,1.09,3.92,6.18,2.37,140,32,13.0,9.00,37
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Ebenaceae,Diospyros hispida A.DC.,march,18.40,0.71,13.76,5.72,2.14,207,261,9.0,4.00,167
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Ebenaceae,Diospyros inconstans Jacq.,march,23.90,0.95,36.93,32.52,3.57,134,216,16.0,8.00,81
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Lauraceae,Endlicheria paniculata (Spreng.) J.F.Macbr.,march,22.10,1.11,11.54,24.17,2.03,221,310,25.0,6.00,149
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Erythroxylaceae,Erythroxylum deciduum A.St.-Hil.,march,18.60,0.91,8.68,9.21,2.13,116,48,10.0,8.00,56
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Erythroxylaceae,Erythroxylum subracemosum Turcz.,march,21.10,1.15,10.48,7.71,1.74,92,50,13.0,9.00,140
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Myrtaceae,Eugenia florida DC.,march,15.80,0.94,9.13,13.19,1.73,177,25,24.0,7.00,59
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Myrtaceae,Eugenia patrisii Vahl,march,14.10,0.63,9.22,28.67,2.10,135,20,12.0,6.00,109
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Myrtaceae,Eugenia moraviana O.Berg,march,16.70,0.75,10.16,20.34,2.15,143,20,22.0,10.00,85
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Myrtaceae,Eugenia stricta Pancher ex Brongn. & Gris,march,11.10,0.71,9.75,55.58,4.68,78,16,14.0,3.00,77
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Nyctaginaceae,Guapira sp.,march,45.40,4.56,24.99,17.83,1.44,81,124,26.0,28.00,11
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Meliaceae,Guarea sp. ,march,20.10,0.55,2.12,8.77,1.66,115,82,8.0,2.00,478
"Araujo, G.M. (1992)",Mata Mes. Semidec.,Panga,Leguminosae,Inga sp.1,march,34.70,2.78,7.11,13.66,1.33,178,103,19.0,7.00,134
