References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Bauhinia sp.,25.6,1.61,11.98,26.16,3.2,101,42,20,7,15
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Campomanesia velutina (Cambess.) O.Berg,20.4,0.91,10.16,12.12,3.03,228,133,11,5,87
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Salicaceae,Casearia sylvestris Sw.,22.7,0.88,37.57,17.66,2.38,191,384,28,6,66
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Annonaceae,Cardiopetalum calophyllum Schltdl.,25.1,1.31,7.55,12.89,4.4,114,25,12,5,33
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Cannabaceae,Celtis iguanaea (Jacq.) Sarg.,24.7,1.15,12.04,59.47,4.98,160,100,12,11,133
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,13.7,0.61,6.16,13.41,2.13,184,29,5,4,87
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Polygonaceae,Coccoloba mollis Casar.,30.6,1.22,11.84,15.95,2.66,330,47,17,6,101
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Copaifera langsdorffii Desf.,19.9,1.01,6.57,12.99,1.95,194,452,36,7,89
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapindaceae,Cupania vernalis Cambess.,20.2,1.36,17.71,6.64,2.36,216,598,30,7,94
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Sweetia fruticosa Spreng.,35.1,0.93,12.46,10.31,1.93,156,38,12,5,25
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Eriotheca candolleana (K.Schum.) A.Robyns,19.7,1.11,11.06,13.78,2.37,196,132,15,8,52
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Faramea occidentalis (L.) A.Rich.,14.7,0.65,4.27,9.29,2.37,137,183,15,12,2072
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Guazuma ulmifolia Lam.,20.6,1.01,12.74,26.92,2.3,149,52,14,6,74
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Guettarda viburnoides Cham. & Schltdl.,16.9,1.11,20.39,11.67,2.15,226,43,14,9,88
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Hymenaea courbaril L.,21.5,1.11,7.32,13.07,2.04,161,356,23,11,49
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Luehea paniculata Mart.,19.7,1.47,15.87,17.74,2.84,206,396,11,9,105
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Phyllanthaceae,Margaritaria nobilis L.f.,20.3,0.95,9.71,16.13,2.23,116,106,8,5,134
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapindaceae,matayba guianensis Aubl.,23.9,1.31,12.87,9.93,3.7,141,299,21,4,43
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Myrcia tomentosa (Aubl.) DC.,16.9,0.88,7.97,9.51,1.79,171,69,15,11,104
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Lauraceae,Ocotea corymbosa (Meisn.) Mez,15.8,0.98,6.13,6.54,2.42,249,155,14,5,68
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Ochnaceae,Ouratea castaneifolia (DC.) Engl.,14.4,0.85,11.78,11.49,2.59,220,698,11,4,97
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapotaceae,Pouteria sp.,20.8,0.93,7.15,4.51,2.18,151,110,18,16,116
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapotaceae,Pouteria macrophylla (Lam.) Eyma,19.3,0.88,4.91,15.42,1.32,122,77,17,20,148
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,16.7,0.65,6.54,5.69,1.81,102,122,10,4,67
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Vochysiaceae,Qualea dichotoma (Mart.) Warm. ex Wille,18.9,0.85,5.78,7.99,1.92,203,37,11,4,933
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Primulaceae,Myrsine guianensis (Aubl.) Kuntze,22.3,1.11,16.05,12.57,1.05,94,25,15,3,54
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Clusiaceae,Garcinia brasiliensis Mart.,14.8,0.71,8.89,26.85,0.98,118,621,20,3,220
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Proteaceae,Roupala montana var. paraensis (Huber) K.S. Edwards,10.8,0.55,7.23,5.13,1.61,142,431,5,2,49
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Rudgea viburnoides (Cham.) Benth.,16.5,0.87,16.64,16.71,2.76,364,132,19,6,2002
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,NA,Sinira cf. viridifolia,22.1,1.11,15.44,24.69,2.36,119,116,107,6,137
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Combretaceae,Terminalia brasiliensis (Cambess. ex A. St.-Hil.) Eichler,19.1,1.11,6.66,17.45,1.9,142,178,16,6,80
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myristicaceae,Virola sebifera Aubl.,16.1,0.81,7.94,8.08,2.19,209,790,14,5,164
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Vochysiaceae,Vochysia tucanorum Mart.,21.8,1.01,9.19,10.04,0.64,237,27,10,9,3459
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Euphorbiaceae,Actinostemon klotzschii (Didr.) Pax,27.1,0.91,5.18,9.49,2.62,154,835,24,7,96
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lamiaceae,Aegiphila sellowiana Cham.,38.2,1.58,8.44,5.68,2.81,148,36,17,16,110
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Albizia polycephala (Benth.) Killip,41.4,1.67,9.51,3.38,1.93,131,107,25,9,133
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Amaioua intermedia Mart. ex Schult. & Schult.f.,24.8,0.88,6.59,4.61,1.69,119,47,12,6,87
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Annonaceae,Annona cacans Warm.,33.3,1.44,5.56,7.47,2.11,179,32,15,11,90
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Apuleia leiocarpa (Vogel) J.F.Macbr.,22.1,1.01,7.01,3.38,1.24,113,69,13,6,182
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Apocynaceae,Aspidosperma discolor A.DC.,18.3,0.83,5.45,10.68,2.69,126,42,7,5,66
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Anacardiaceae,Astronium nelson-rosae Santin,21.5,1.01,6.04,9.42,2.53,211,33,8,8,126
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Malpighiaceae,Byrsonima laxiflora Griseb.,17.2,0.91,5.46,12.91,2.29,875,34,27,4,48
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Vochysiaceae,Callisthene major Mart.,19.9,0.85,4.29,6.62,2.07,210,77,11,9,1200
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lecythidaceae,Cariniana estrellensis (Raddi) Kuntze,21.5,1.23,10.51,4.61,2.37,131,226,15,7,53
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Salicaceae,Casearia decandra Jacq.,28.1,1.22,7.96,6.51,2.62,127,883,15,10,36
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Salicaceae,Casearia grandiflora Cambess.,28.9,0.91,8.43,4.45,2.04,171,1420,20,5,46
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Cassia ferruginea (Schrad.) DC.,23.1,1.19,5.57,9.55,2.65,114,199,25,6,56
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Meliaceae,Cedrela fissilis Vell.,22.8,1.33,5.03,12.65,2.87,141,45,20,8,87
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Moraceae,Maclura tinctoria (L.) D.Don ex Steud.,37.8,1.74,11.76,24.29,3.24,126,85,14,8,117
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Boraginaceae,Cordia sellowiana Cham.,27.6,1.01,13.51,5.74,2.46,270,299,17,10,63
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Coussarea contracta (Walp.) Benth. & Hook.f. ex Müll.Arg.,19.7,0.91,2.53,16.25,3.48,299,2477,17,7,4158
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Euphorbiaceae,Croton floribundus Spreng.,29.8,1.44,5.21,11.39,3.77,91,1349,25,9,78
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lauraceae,Cryptocarya moschata Nees & Mart.,17.4,0.91,6.51,3.72,1.49,81,830,13,8,168
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Dalbergia frutescens (Vell.) Britton,32.8,1.61,10.35,7.43,2.03,96,101,11,9,48
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,NA,Deconhecida 1,16.3,0.86,5.83,5.55,2.49,114,43,13,3,116
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Araliaceae,"Schefflera morototoni (Aubl.) Maguire, Steyerm. & Frodin",20.9,0.93,5.95,8.15,2.48,110,391,27,5,53
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Annonaceae,Duguetia lanceolata A.St.-Hil.,27.1,1.28,8.62,3.92,1.71,70,490,14,15,48
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Meliaceae,Guarea guidonia (L.) Sleumer,30.1,1.67,8.71,9.58,2.27,116,48,22,16,155
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Olacaceae,Heisteria ovata Benth.,28.7,0.73,4.31,8.91,2.28,128,1496,13,4,89
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Chrysobalanaceae,Hirtella racemosa Lam.,12.9,0.66,4.45,5.36,2.3,144,25,11,5,80
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Inga laurina (Sw.) Willd.,26.1,1.39,7.59,4.52,1.29,90,60,24,10,99
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Inga sp.1,30.3,1.15,5.23,5.43,1.68,128,132,15,12,116
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Inga sp.2,27.1,1.17,4.23,6.01,1.79,200,159,14,10,86
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Ixora brevifolia Benth.,16.3,0.71,9.61,11.39,2.23,70,34,10,3,54
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Bignoniaceae,Jacaranda sp.,29.1,1.51,4.81,4.36,1.76,144,79,16,15,157
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Machaerium nyctitans (Vell.) Benth.,26.7,1.06,3.72,9.35,2.92,133,1098,16,7,23
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Machaerium sp.,47.9,1.44,5.09,5.89,2.27,123,486,20,18,60
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Machaerium villosum Vogel,39.3,1.33,5.17,5.21,1.99,122,285,17,15,24
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Euphorbiaceae,Maprounea guianensis Aubl.,17.5,0.85,2.83,2.15,1.51,148,51,12,5,32
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Celastraceae,Maytenus sp.,22.1,1.29,19.17,7.61,3.96,89,921,32,4,38
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Melastomataceae,Miconia sellowiana Naudin,18.1,0.91,5.97,3.58,1.19,251,166,19,6,457
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Melastomataceae,Miconia sp.,22.4,0.85,5.45,26.54,1.67,121,70,24,6,2783
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Myrtaceae,Myrcia sp.,21.9,0.94,12.88,7.38,2.23,173,1511,19,5,65
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lauraceae,Nectandra membranacea (Sw.) Griseb.,22.1,1.01,4.13,4.35,1.79,93,84,14,10,191
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lauraceae,Ocotea spixiana (Nees) Mez,20.5,0.83,3.36,4.79,1.97,227,85,14,6,91
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lauraceae,Ocotea sp. ,20.5,0.83,3.36,4.79,2.14,95,156,15,7,36
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Ormosia fastigiata Tul.,23.4,0.85,2.85,6.29,2.27,270,285,12,4,212
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Compositae,Piptocarpha macropoda (DC.) Baker,28.7,1.53,10.32,4.93,2.43,159,923,20,17,69
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Platycyamus regnellii Benth.,39.3,1.28,8.52,5.42,2.31,158,2754,13,5,55
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Myrtaceae,Psidium rufum Mart. ex DC.,14.8,0.61,11.32,11.56,2.72,73,351,8,3,43
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Vochysiaceae,Qualea multiflora subsp. pubescens (Mart.) Stafleu,19.6,0.96,4.04,7.02,2.2,184,207,10,6,1813
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Siparunaceae,Siparuna guianensis Aubl.,31.4,1.31,12.66,8.51,2.73,112,508,17,8,226
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Myrtaceae,Siphoneugena densiflora O.Berg,14.7,0.56,5.61,9.16,2.43,49,1653,10,4,45
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Elaeocarpaceae,Sloanea monosperma Vell.,16.7,0.83,4.67,13.54,2.09,116,790,10,5,35
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Moraceae,"Sorocea bonplandii (Baill.) W.C.Burger, Lanj. & de Boer",26.3,1.19,7.07,11.77,2.46,108,928,17,4,66
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Bignoniaceae,Handroanthus serratifolius (Vahl) S.O.Grose,29.8,1.83,9.33,10.01,2.92,150,458,22,8,82
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Anacardiaceae,Tapirira obtusa (Benth.) J.D.Mitch.,19.1,1.01,4.17,9.52,2.2,109,28,12,4,36
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Meliaceae,Trichilia pallida Sw.,29.1,1.36,11.46,14.78,2.53,111,53,28,9,32
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lamiaceae,Vitex polygama Cham.,19.1,1.11,7.22,9.52,3.53,442,881,16,8,162
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Annonaceae,Xylopia sericea A.St.-Hil.,20.7,0.93,4.11,9.85,1.89,100,183,8,10,161
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rutaceae,Zanthoxylum rhoifolium Lam.,25.3,1.19,7.58,8.46,2.28,102,238,13,7,21
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Opiliaceae,Agonandra brasiliensis Miers ex Benth.,36.1,2.42,36.21,10.64,3.41,117,651,32,41,173
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Cordiera sessilis (Vell.) Kuntze,12.4,0.71,7.09,15.56,2.43,79,23,5,2,46
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Apocynaceae,Aspidosperma cylindrocarpon Müll.Arg.,16.9,1.01,9.68,11.76,2.79,54,43,12,3,88
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Apocynaceae,Aspidosperma parvifolium A.DC.,31.2,2.22,7.43,6.77,3.2,70,49,14,13,52
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Apocynaceae,Aspidosperma subincanum Mart. ex A.DC.,31.1,1.41,9.67,8.93,3.09,106,178,15,11,67
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Bauhinia sp.,17.2,1.61,17.32,7.69,2.45,101,90,30,11,21
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Myrtaceae,Campomanesia velutina (Cambess.) O.Berg,24.6,1.19,10.54,7.41,3.05,168,215,15,8,147
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Annonaceae,Cardiopetalum calophyllum Schltdl.,25.8,1.14,5.48,8.97,2.1,129,30,11,7,36
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Salicaceae,Casearia sylvestris Sw.,25.8,0.95,15.72,10.81,3.45,119,925,26,8,92
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Cannabaceae,Celtis iguanaea (Jacq.) Sarg.,35.2,1.28,14.19,22.83,3.63,109,109,16,10,82
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,17.6,0.63,3.88,9.77,2.47,86,25,9,5,92
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Polygonaceae,Coccoloba mollis Casar.,29.2,1.56,11.45,11.09,2.57,185,181,21,7,99
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Copaifera langsdorffii Desf.,21.7,1.08,4.94,11.37,2.58,149,709,29,6,43
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Sapindaceae,Cupania vernalis Cambess.,20.7,1.28,10.12,8.65,2.72,210,1501,24,9,49
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Sweetia fruticosa Spreng.,28.8,1.06,5.18,7.42,2.09,88,36,13,7,107
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Malvaceae,Eriotheca candolleana (K.Schum.) A.Robyns,23.7,1.22,7.91,8.62,2.65,175,30,11,7,71
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Faramea occidentalis (L.) A.Rich.,19.8,0.77,3.43,8.67,2.21,167,175,17,5,1902
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Malvaceae,Guazuma ulmifolia Lam.,22.6,1.56,20.62,10.05,2.51,83,43,20,8,46
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Guettarda viburnoides Cham. & Schltdl.,23.2,1.17,12.81,9.23,2.34,165,63,18,8,92
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Hymenaea courbaril L.,23.3,1.04,6.11,5.13,1.74,82,423,20,7,98
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Malvaceae,Luehea paniculata Mart.,17.7,1.14,12.27,9.51,2.4,153,468,12,9,167
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Phyllanthaceae,Margaritaria nobilis L.f.,20.6,1.14,7.01,8.51,2.04,163,158,18,9,45
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Sapindaceae,matayba guianensis Aubl.,22.8,1.44,8.95,6.76,3.37,92,282,17,5,165
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Myrtaceae,Myrcia tomentosa (Aubl.) DC.,15.3,0.95,7.38,6.97,1.8,90,166,7,7,144
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lauraceae,Ocotea corymbosa (Meisn.) Mez,21.7,0.94,2.72,5.84,2.14,140,124,9,5,88
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Ochnaceae,Ouratea castaneifolia (DC.) Engl.,13.7,0.81,4.72,11.12,2.77,81,1734,9,5,154
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Sapotaceae,Pouteria macrophylla (Lam.) Eyma,22.4,1.19,4.16,9.52,1.97,132,160,12,4,60
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Sapotaceae,Pouteria sp.,19.6,1.88,5.12,2.87,1.13,163,134,14,4,137
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,15.4,0.81,4.54,5.69,1.68,96,384,10,3,67
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Vochysiaceae,Qualea dichotoma (Mart.) Warm. ex Wille,15.6,0.81,4.42,5.88,1.51,163,76,9,3,757
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Primulaceae,Myrsine guianensis (Aubl.) Kuntze,13.1,0.81,13.16,32.71,2.54,108,93,16,6,162
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Clusiaceae,Garcinia brasiliensis Mart.,14.2,0.81,8.02,12.05,2.22,83,897,25,3,55
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Proteaceae,Roupala montana var. paraensis (Huber) K.S. Edwards,12.1,0.61,5.95,5.97,2.37,97,503,10,3,96
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Rudgea viburnoides (Cham.) Benth.,17.5,0.81,9.15,12.22,4.71,134,134,14,5,1243
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,NA,Sinira cf. viridifolia,28.1,1.06,9.91,11.59,3.05,168,218,28,9,88
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Combretaceae,Terminalia brasiliensis (Cambess. ex A. St.-Hil.) Eichler,26.4,1.53,10.69,16.64,2.66,180,213,22,11,101
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Myristicaceae,Virola sebifera Aubl.,23.3,0.85,6.31,7.17,2.14,188,1304,19,8,57
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Vochysiaceae,Vochysia tucanorum Mart.,22.3,0.91,9.55,7.35,0.93,230,33,14,5,3138
